epoch;auc;categorical_crossentropy;loss;val_auc;val_categorical_crossentropy;val_loss
0;0.6414399147033691;0.669914722442627;0.6701400876045227;0.7447916269302368;0.646453857421875;0.6436732411384583
1;0.6857756972312927;0.6485166549682617;0.6490795016288757;0.7222222089767456;0.622209906578064;0.6216503381729126
2;0.7244346737861633;0.6296210289001465;0.6310348510742188;0.7482638955116272;0.6029651165008545;0.6036123037338257
3;0.7297886610031128;0.6193697452545166;0.6201689839363098;0.7569444179534912;0.5902766585350037;0.5918132662773132
4;0.7352135181427002;0.6114721894264221;0.6110496520996094;0.763888955116272;0.5866421461105347;0.5912430286407471
5;0.7381739616394043;0.6033527255058289;0.6032125949859619;0.7673611044883728;0.5889960527420044;0.5957635045051575
6;0.7480552792549133;0.5975163578987122;0.5967319011688232;0.7673611044883728;0.5940005779266357;0.6067168116569519
7;0.7553618550300598;0.5926653146743774;0.5906007289886475;0.7569444179534912;0.58846116065979;0.6038712859153748
8;0.7631723880767822;0.586039662361145;0.5842974185943604;0.7847222089767456;0.5781099200248718;0.5997901558876038
9;0.7699514627456665;0.5814940929412842;0.5784406661987305;0.7899305820465088;0.5607649683952332;0.5887060165405273
10;0.7900761365890503;0.5636990666389465;0.5649928450584412;0.8133680820465088;0.5551295280456543;0.5948123335838318
11;0.8073113560676575;0.5466382503509521;0.5472823977470398;0.8333333730697632;0.5184279680252075;0.562479555606842
12;0.8105552196502686;0.5432490706443787;0.5403574705123901;0.7708333134651184;0.569397509098053;0.6096395254135132
13;0.8231449723243713;0.5338709354400635;0.5362773537635803;0.810763955116272;0.5508885383605957;0.5882033705711365
14;0.8172950148582458;0.5330265164375305;0.5310468673706055;0.8012152314186096;0.5365456342697144;0.5722578167915344
15;0.818105936050415;0.5265970230102539;0.5281527638435364;0.7960069179534912;0.5441096425056458;0.5773336887359619
16;0.8269557356834412;0.5212793350219727;0.5199937224388123;0.8211805820465088;0.5029432773590088;0.5498471856117249
17;0.8275935053825378;0.522162914276123;0.5219122171401978;0.796875;0.5309010744094849;0.5646296739578247
18;0.8262549638748169;0.5158013701438904;0.5137725472450256;0.8211805820465088;0.5092028379440308;0.54305499792099
19;0.8317743539810181;0.5107203125953674;0.5125902891159058;0.828125;0.5310534238815308;0.5699076652526855
20;0.8312626481056213;0.5095868110656738;0.5096331238746643;0.8480902910232544;0.4964507222175598;0.5351272821426392
21;0.8205151557922363;0.5220473408699036;0.5231950283050537;0.7899305820465088;0.5351455211639404;0.5642951726913452
22;0.8358292579650879;0.5069801211357117;0.5057497620582581;0.8255208730697632;0.5175751447677612;0.550801694393158
23;0.8402147889137268;0.49941742420196533;0.49935051798820496;0.8072916269302368;0.5304988622665405;0.5629644989967346
24;0.8281289339065552;0.5112553834915161;0.5145600438117981;0.8090277910232544;0.5372844934463501;0.5666200518608093
25;0.8414666652679443;0.4958934783935547;0.4965023696422577;0.8272569179534912;0.5114915370941162;0.5434308052062988
26;0.8343569040298462;0.5035402178764343;0.5055240392684937;0.7934027910232544;0.5392072200775146;0.568939745426178
27;0.844490110874176;0.4993015229701996;0.4975645840167999;0.8194444179534912;0.5204408168792725;0.5503337383270264
28;0.8417344093322754;0.49598923325538635;0.4951663911342621;0.8229166269302368;0.5093236565589905;0.5369608998298645
29;0.8367819786071777;0.5065114498138428;0.5021589994430542;0.7899305820465088;0.5549747943878174;0.5782358646392822
