Directory,ROC score,BA score
year_coin_2,0.7598901098901099,0.6856393606393606
full_coin_2,0.751998001998002,0.6843906093906094
year_coin_5,0.7745254745254746,0.7028471528471529
full_coin_5,0.756993006993007,0.682992007992008
field_coin_5,0.7854645354645354,0.7222277722277722
shuffle_coin_10,0.7830169830169831,0.7277472527472527
field_coin_2,0.7726273726273727,0.6923576423576424
field_language_coin_10,0.781068931068931,0.7229270729270729
no_noise_10,0.7817182817182817,0.7229270729270729
scale_5_coin_10,0.7824675324675324,0.7365134865134866
scale_0.5_coin_10,0.7815684315684315,0.7264985014985015
year_field_coin_5,0.76993006993007,0.7148101898101897
year_field_coin_2,0.7652347652347652,0.6956543456543457
no_noise_5,0.7796703296703297,0.7203296703296703
scale_5_coin_2,0.7828171828171829,0.7391108891108892
shuffle_coin_5,0.781768231768232,0.7215284715284715
scale_5_coin_5,0.7855644355644356,0.7290959040959041
no_noise_2,0.7764235764235765,0.7312687312687313
shuffle_coin_2,0.7758241758241758,0.7222277722277722
field_coin_10,0.7783716283716282,0.7260739260739261
field_language_coin_5,0.771028971028971,0.7008991008991009
field_language_coin_2,0.7749250749250749,0.7116133866133867
scale_2_coin_10,0.784915084915085,0.7245504495504497
full_coin_10,0.7777222777222776,0.7138361638361638
scale_2_coin_2,0.7803196803196804,0.7173576423576423
binconcept_coin_2,0.7682817182817183,0.7073426573426573
scale_2_coin_5,0.7837162837162835,0.7283966033966035
binconcept_coin_5,0.7673326673326673,0.7037712287712288
year_language_coin_5,0.7796203796203797,0.7138361638361639
year_language_coin_2,0.7712287712287712,0.6995504495504495
language_coin_10,0.7655344655344655,0.6944555444555445
year_language_coin_10,0.7558941058941059,0.6764985014985015
scale_0.5_coin_5,0.7815684315684315,0.7257992007992008
scale_0.5_coin_2,0.7798701298701299,0.7105394605394605
language_coin_2,0.7680819180819182,0.7077672327672327
year_field_coin_10,0.7756743256743256,0.7183816183816185
language_coin_5,0.7718281718281719,0.7037712287712288
year_coin_10,0.7803696303696304,0.7255244755244755
binconcept_coin_10,0.7682817182817182,0.7181068931068932
