epoch;auc;categorical_crossentropy;loss;val_auc;val_categorical_crossentropy;val_loss
0;0.6184799671173096;0.6744461059570312;0.6747742295265198;0.7616000175476074;0.6199791431427002;0.6191713809967041
1;0.6557760238647461;0.6586912870407104;0.6600100994110107;0.77920001745224;0.5988479852676392;0.5947344303131104
2;0.6849600076675415;0.6515976190567017;0.650518536567688;0.8287999629974365;0.5732063055038452;0.5703098773956299
3;0.7031359672546387;0.643227756023407;0.6419169306755066;0.8447999954223633;0.5612925291061401;0.5550827980041504
4;0.7064319849014282;0.6363319158554077;0.636227548122406;0.8592000007629395;0.5462053418159485;0.538422703742981
5;0.7112799882888794;0.6285958886146545;0.628420352935791;0.8527999520301819;0.5381937623023987;0.5285842418670654
6;0.7205039262771606;0.6198977828025818;0.6204953789710999;0.8416000604629517;0.5350490808486938;0.5244534015655518
7;0.7297199964523315;0.6154590845108032;0.6135585904121399;0.8240000009536743;0.5351609587669373;0.5219100713729858
8;0.7481679916381836;0.6008320450782776;0.6020288467407227;0.7999999523162842;0.5462484955787659;0.5287246704101562
9;0.7618880271911621;0.5887752771377563;0.591599702835083;0.7791999578475952;0.5818348526954651;0.5549528002738953
10;0.7857440710067749;0.5815034508705139;0.5757643580436707;0.7727999687194824;0.5915350317955017;0.5625576972961426
11;0.7933359742164612;0.5699971914291382;0.5660350322723389;0.7888000011444092;0.5821359157562256;0.553114652633667
12;0.7929760217666626;0.5618151426315308;0.5594289302825928;0.8143999576568604;0.5538315176963806;0.5350825786590576
13;0.7824000120162964;0.5697066783905029;0.5668339729309082;0.8208000063896179;0.544104814529419;0.5234354138374329
14;0.7935439348220825;0.5598087906837463;0.5606176257133484;0.8072000741958618;0.5589518547058105;0.5338133573532104
15;0.8002960681915283;0.5523558259010315;0.5513759255409241;0.8447999954223633;0.5273375511169434;0.5099279284477234
16;0.800279974937439;0.5504799485206604;0.5475437045097351;0.8159999847412109;0.5655510425567627;0.5366737246513367
17;0.8103839755058289;0.5318347215652466;0.5342535376548767;0.8511999845504761;0.5160859227180481;0.49769192934036255
18;0.8210319876670837;0.5246201157569885;0.5262501239776611;0.8199999928474426;0.5631760358810425;0.5369389057159424
19;0.8201919794082642;0.5262079238891602;0.5227940678596497;0.8303999900817871;0.5488368272781372;0.5233861804008484
20;0.8233759999275208;0.5210987329483032;0.52117919921875;0.8384000062942505;0.5326103568077087;0.5107765197753906
21;0.8222079873085022;0.5198765397071838;0.5186139941215515;0.8352000117301941;0.5470278263092041;0.5214511156082153
22;0.827288031578064;0.5149137377738953;0.5141057968139648;0.8575999736785889;0.4962977468967438;0.4761057198047638
23;0.8258880376815796;0.5105500817298889;0.515158474445343;0.8623999953269958;0.47657954692840576;0.4614062011241913
24;0.8269439935684204;0.5164800882339478;0.513210654258728;0.8352000713348389;0.5350704789161682;0.5087680816650391
25;0.8338559865951538;0.5042285323143005;0.5089828968048096;0.8704000115394592;0.4529173970222473;0.44058066606521606
26;0.841655969619751;0.4945644438266754;0.496362566947937;0.8368000388145447;0.5474386215209961;0.5183659195899963
27;0.8256640434265137;0.5129567384719849;0.5121333599090576;0.8687999844551086;0.4682749807834625;0.45157182216644287
28;0.8404639959335327;0.49666810035705566;0.49528568983078003;0.8367999792098999;0.5087114572525024;0.48577529191970825
29;0.8448560237884521;0.48633092641830444;0.4880141019821167;0.8480000495910645;0.48098593950271606;0.46344825625419617
