binconcepts,level_1,length,groupby_keys,year,field,language,level_2
0.0,6.0,74,['binconcepts'],,,,
0.0,7.0,15,['binconcepts'],,,,
0.0,10.0,16,['binconcepts'],,,,
0.0,11.0,105,['binconcepts'],,,,
0.0,12.0,106,['binconcepts'],,,,
0.0,14.0,127,['binconcepts'],,,,
0.0,15.0,32,['binconcepts'],,,,
0.0,16.0,48,['binconcepts'],,,,
0.0,17.0,14,['binconcepts'],,,,
0.0,18.0,70,['binconcepts'],,,,
0.0,23.0,24,['binconcepts'],,,,
0.0,24.0,32,['binconcepts'],,,,
0.0,25.0,14,['binconcepts'],,,,
0.0,27.0,107,['binconcepts'],,,,
0.0,28.0,65,['binconcepts'],,,,
0.0,32.0,21,['binconcepts'],,,,
0.0,33.0,132,['binconcepts'],,,,
0.0,34.0,145,['binconcepts'],,,,
0.0,35.0,53,['binconcepts'],,,,
0.0,36.0,160,['binconcepts'],,,,
0.0,37.0,126,['binconcepts'],,,,
0.0,38.0,151,['binconcepts'],,,,
0.0,39.0,111,['binconcepts'],,,,
0.0,43.0,18,['binconcepts'],,,,
0.0,44.0,14,['binconcepts'],,,,
0.0,45.0,30,['binconcepts'],,,,
0.0,47.0,217,['binconcepts'],,,,
0.0,48.0,181,['binconcepts'],,,,
0.0,50.0,18,['binconcepts'],,,,
0.0,51.0,13,['binconcepts'],,,,
0.0,53.0,106,['binconcepts'],,,,
0.0,54.0,26,['binconcepts'],,,,
0.0,55.0,107,['binconcepts'],,,,
0.0,56.0,34,['binconcepts'],,,,
0.0,58.0,36,['binconcepts'],,,,
0.0,59.0,22,['binconcepts'],,,,
0.0,63.0,22,['binconcepts'],,,,
0.0,64.0,96,['binconcepts'],,,,
0.0,69.0,67,['binconcepts'],,,,
0.0,70.0,29,['binconcepts'],,,,
0.0,72.0,82,['binconcepts'],,,,
0.0,73.0,22,['binconcepts'],,,,
0.0,74.0,59,['binconcepts'],,,,
0.0,75.0,20,['binconcepts'],,,,
0.0,76.0,79,['binconcepts'],,,,
0.0,78.0,29,['binconcepts'],,,,
0.0,79.0,53,['binconcepts'],,,,
0.0,82.0,51,['binconcepts'],,,,
0.0,84.0,139,['binconcepts'],,,,
0.0,86.0,30,['binconcepts'],,,,
0.0,87.0,21,['binconcepts'],,,,
0.0,88.0,38,['binconcepts'],,,,
0.0,89.0,82,['binconcepts'],,,,
0.0,91.0,22,['binconcepts'],,,,
0.0,92.0,16,['binconcepts'],,,,
0.0,93.0,54,['binconcepts'],,,,
0.0,97.0,142,['binconcepts'],,,,
0.0,101.0,108,['binconcepts'],,,,
0.0,104.0,33,['binconcepts'],,,,
0.0,105.0,21,['binconcepts'],,,,
0.0,107.0,109,['binconcepts'],,,,
0.0,108.0,34,['binconcepts'],,,,
0.0,109.0,221,['binconcepts'],,,,
0.0,110.0,34,['binconcepts'],,,,
0.0,114.0,42,['binconcepts'],,,,
0.0,115.0,11,['binconcepts'],,,,
0.0,117.0,31,['binconcepts'],,,,
0.0,123.0,40,['binconcepts'],,,,
0.0,124.0,173,['binconcepts'],,,,
0.0,126.0,112,['binconcepts'],,,,
0.0,127.0,34,['binconcepts'],,,,
0.0,130.0,62,['binconcepts'],,,,
0.0,133.0,14,['binconcepts'],,,,
0.0,134.0,17,['binconcepts'],,,,
0.0,135.0,33,['binconcepts'],,,,
0.0,136.0,25,['binconcepts'],,,,
0.0,137.0,128,['binconcepts'],,,,
0.0,138.0,115,['binconcepts'],,,,
0.0,139.0,39,['binconcepts'],,,,
0.0,141.0,190,['binconcepts'],,,,
0.0,144.0,47,['binconcepts'],,,,
0.0,146.0,60,['binconcepts'],,,,
0.0,149.0,42,['binconcepts'],,,,
0.0,150.0,39,['binconcepts'],,,,
0.0,151.0,21,['binconcepts'],,,,
0.0,152.0,50,['binconcepts'],,,,
0.0,153.0,25,['binconcepts'],,,,
0.0,155.0,57,['binconcepts'],,,,
0.0,158.0,52,['binconcepts'],,,,
0.0,159.0,16,['binconcepts'],,,,
0.0,160.0,17,['binconcepts'],,,,
0.0,164.0,28,['binconcepts'],,,,
0.0,167.0,121,['binconcepts'],,,,
0.0,168.0,135,['binconcepts'],,,,
0.0,169.0,33,['binconcepts'],,,,
0.0,170.0,58,['binconcepts'],,,,
0.0,174.0,24,['binconcepts'],,,,
0.0,177.0,28,['binconcepts'],,,,
0.0,178.0,136,['binconcepts'],,,,
0.0,181.0,317,['binconcepts'],,,,
0.0,183.0,33,['binconcepts'],,,,
0.0,184.0,16,['binconcepts'],,,,
0.0,188.0,43,['binconcepts'],,,,
0.0,189.0,40,['binconcepts'],,,,
0.0,191.0,211,['binconcepts'],,,,
0.0,193.0,37,['binconcepts'],,,,
0.0,196.0,54,['binconcepts'],,,,
0.0,197.0,59,['binconcepts'],,,,
0.0,198.0,20,['binconcepts'],,,,
0.0,199.0,15,['binconcepts'],,,,
0.0,200.0,58,['binconcepts'],,,,
0.0,202.0,34,['binconcepts'],,,,
