epoch;auc;categorical_crossentropy;loss;val_auc;val_categorical_crossentropy;val_loss
0;0.6166000366210938;0.6748629212379456;0.6744908690452576;0.7280000448226929;0.6466217041015625;0.642198920249939
1;0.6882320046424866;0.6503100991249084;0.6497880220413208;0.8048000335693359;0.6195075511932373;0.6113103032112122
2;0.7184640169143677;0.6349175572395325;0.6341414451599121;0.8159999847412109;0.6020843386650085;0.5912120938301086
3;0.7233279943466187;0.6235992908477783;0.6241376399993896;0.8048000335693359;0.5922750234603882;0.5824370384216309
4;0.7259039878845215;0.6207367181777954;0.6181192398071289;0.7999999523162842;0.5798120498657227;0.5687596797943115
5;0.7368879914283752;0.6174330711364746;0.6089367866516113;0.8032000064849854;0.574634850025177;0.5662984848022461
6;0.738319993019104;0.6024297475814819;0.6061105728149414;0.8191999793052673;0.5757727026939392;0.5698294043540955
7;0.7478799819946289;0.5943142771720886;0.5993185639381409;0.8240000009536743;0.5676090717315674;0.562938928604126
8;0.748416006565094;0.594765841960907;0.5962324142456055;0.8223999738693237;0.5607497096061707;0.5566022396087646
9;0.7548400163650513;0.5897539854049683;0.5921096801757812;0.8287999629974365;0.5492391586303711;0.5468051433563232
10;0.7641199827194214;0.5862165093421936;0.5855677723884583;0.8472000360488892;0.5357825756072998;0.5357161164283752
11;0.7769760489463806;0.5740857720375061;0.5762275457382202;0.8671999573707581;0.5187118649482727;0.5151736736297607
12;0.7871359586715698;0.5706337690353394;0.5690776109695435;0.8495999574661255;0.5144628882408142;0.49912741780281067
13;0.7990880012512207;0.5548926591873169;0.5522369146347046;0.8639999628067017;0.5077135562896729;0.4989391565322876
14;0.8056240081787109;0.5487148761749268;0.5501773357391357;0.8655999898910522;0.5079182386398315;0.49402084946632385
15;0.7981039881706238;0.5553974509239197;0.5524753928184509;0.8664000034332275;0.5058674812316895;0.49614033102989197
16;0.8040480613708496;0.5418194532394409;0.5448464751243591;0.848800003528595;0.511644184589386;0.4899369180202484
17;0.8081759810447693;0.5376172661781311;0.5373125076293945;0.8655999898910522;0.48738083243370056;0.46694034337997437
18;0.8093600273132324;0.5440372824668884;0.5401355028152466;0.8736000061035156;0.4916890561580658;0.4731285572052002
19;0.8128560185432434;0.5303776860237122;0.5316869616508484;0.8560000658035278;0.5043706893920898;0.47900626063346863
20;0.8215280175209045;0.5287683606147766;0.5246487259864807;0.8607999682426453;0.4996774196624756;0.47154295444488525
21;0.8241680264472961;0.5228770971298218;0.5207525491714478;0.8495999574661255;0.5031272172927856;0.4735587239265442
22;0.8219040036201477;0.522156834602356;0.5243312120437622;0.8432000279426575;0.5202395915985107;0.48870712518692017
23;0.8306640386581421;0.5073145627975464;0.5138196349143982;0.8655999898910522;0.4891466498374939;0.45666366815567017
24;0.8245280385017395;0.5168344974517822;0.5170531868934631;0.8511999845504761;0.5019749999046326;0.46740666031837463
25;0.8233279585838318;0.5174949169158936;0.5182496905326843;0.8455999493598938;0.5144052505493164;0.4784982204437256
26;0.8333760499954224;0.5104695558547974;0.5110383033752441;0.8623999953269958;0.49365314841270447;0.46630311012268066
27;0.8328559994697571;0.5112354159355164;0.510383665561676;0.8447999954223633;0.5070159435272217;0.4693269431591034
28;0.8314160108566284;0.5108773708343506;0.5104796290397644;0.8384000062942505;0.5184693336486816;0.4719730615615845
29;0.8314559459686279;0.5076754689216614;0.5096644759178162;0.8559999465942383;0.506489098072052;0.465713232755661
