epoch;auc;categorical_crossentropy;loss;val_auc;val_categorical_crossentropy;val_loss
0;0.622704029083252;0.6761852502822876;0.6743879914283752;0.7272000312805176;0.6453002095222473;0.6437382698059082
1;0.6705679893493652;0.6554645299911499;0.6551963686943054;0.7328000068664551;0.6354233026504517;0.631456196308136
2;0.7060559988021851;0.6439072489738464;0.644145667552948;0.7783999443054199;0.6150580644607544;0.6092352867126465
3;0.7138239741325378;0.6354528665542603;0.6361976861953735;0.8032000064849854;0.601386308670044;0.5925456881523132
4;0.7175120115280151;0.629826009273529;0.6295497417449951;0.8016000390052795;0.5830303430557251;0.5730665922164917
5;0.7184640169143677;0.6248663663864136;0.6251242160797119;0.8048000335693359;0.5744596719741821;0.5633400082588196
6;0.7298159599304199;0.61909419298172;0.6177597641944885;0.8192000389099121;0.5649641752243042;0.5517991185188293
7;0.734607994556427;0.6125745177268982;0.6118569374084473;0.8271999955177307;0.556578516960144;0.5437077879905701
8;0.7425439953804016;0.6041887998580933;0.606839120388031;0.849600076675415;0.5439756512641907;0.5308536291122437
9;0.7491199970245361;0.5970860123634338;0.6010936498641968;0.8655999898910522;0.5246829986572266;0.5124318599700928
10;0.7611280083656311;0.6038099527359009;0.5970218181610107;0.8783999681472778;0.4805087745189667;0.475096732378006
11;0.7792879343032837;0.577311098575592;0.5758613348007202;0.8960000276565552;0.4743614196777344;0.46848416328430176
12;0.7915759682655334;0.5654617547988892;0.5653495192527771;0.8992000818252563;0.46018707752227783;0.4536822438240051
13;0.7831599712371826;0.5723986625671387;0.5685327053070068;0.9031999707221985;0.43845856189727783;0.43260762095451355
14;0.7999840378761292;0.5543741583824158;0.5571680665016174;0.8992000818252563;0.4815411865711212;0.47168266773223877
15;0.7938719987869263;0.5620094537734985;0.5583114624023438;0.9103999733924866;0.44099923968315125;0.4335865080356598
16;0.7959520220756531;0.5557915568351746;0.5560917854309082;0.9007999897003174;0.43006807565689087;0.42349204421043396
17;0.7753840684890747;0.5698142051696777;0.5722373127937317;0.907200038433075;0.4561450779438019;0.44100287556648254
18;0.8152879476547241;0.534339427947998;0.5343373417854309;0.897599995136261;0.4569169282913208;0.4495624303817749
19;0.8190159797668457;0.5292055010795593;0.5288069844245911;0.9104000329971313;0.4238317608833313;0.4106631577014923
20;0.8237919807434082;0.5203121304512024;0.5197961926460266;0.9040000438690186;0.42016661167144775;0.4090731739997864
21;0.8261599540710449;0.5196167230606079;0.517789900302887;0.9007999897003174;0.42951250076293945;0.4152218997478485
22;0.8308640122413635;0.5144994854927063;0.51228266954422;0.9039999842643738;0.41092413663864136;0.3977586030960083
23;0.8311840295791626;0.5096261501312256;0.5089440941810608;0.9016000032424927;0.41478824615478516;0.3959953784942627
24;0.8332640528678894;0.5106979608535767;0.507111668586731;0.9039999842643738;0.4269680380821228;0.4084818363189697
25;0.8303279876708984;0.5120880007743835;0.5083690881729126;0.9016000032424927;0.4152434468269348;0.393893837928772
26;0.8357920050621033;0.5070747137069702;0.5068469047546387;0.8960000276565552;0.436073362827301;0.4147476851940155
27;0.8434399962425232;0.4960811138153076;0.4934634864330292;0.9056000113487244;0.41887667775154114;0.3982522189617157
28;0.8417600393295288;0.49277669191360474;0.49360185861587524;0.897599995136261;0.42984896898269653;0.40820178389549255
29;0.8464080095291138;0.4901480972766876;0.48922327160835266;0.9056000113487244;0.4151097536087036;0.3940178155899048
