epoch;auc;categorical_crossentropy;loss;val_auc;val_categorical_crossentropy;val_loss
0;0.6457920074462891;0.6724990010261536;0.6729441285133362;0.5983999967575073;0.7028363943099976;0.6828774809837341
1;0.6914880275726318;0.6466469168663025;0.646928608417511;0.6064000129699707;0.7221218347549438;0.6890560984611511
2;0.7150880098342896;0.6302887201309204;0.6285292506217957;0.5952000021934509;0.7413468360900879;0.7002301216125488
3;0.7411919832229614;0.6123736500740051;0.6137334704399109;0.6055999994277954;0.7488442659378052;0.7049557566642761
4;0.7480319738388062;0.6066302061080933;0.6041613221168518;0.5967999696731567;0.7607702612876892;0.7134321331977844
5;0.747983992099762;0.6013399362564087;0.5996394157409668;0.6144000291824341;0.7696995735168457;0.7194530963897705
6;0.7527279853820801;0.5915412306785583;0.5955115556716919;0.6031999588012695;0.7559770345687866;0.7131094932556152
7;0.7576799988746643;0.5904510021209717;0.5891844630241394;0.6128000020980835;0.7635635137557983;0.7188249826431274
8;0.7512240409851074;0.5908856391906738;0.5915135741233826;0.6128000020980835;0.7634116411209106;0.7204118967056274
9;0.7623599767684937;0.582001805305481;0.5845812559127808;0.6496000289916992;0.7378648519515991;0.6989272832870483
10;0.7671279907226562;0.5877571105957031;0.5806079506874084;0.6351999640464783;0.7464314699172974;0.7061787247657776
11;0.782480001449585;0.5658642649650574;0.5679957270622253;0.6583999991416931;0.7164279818534851;0.6857438683509827
12;0.7928479909896851;0.5588446855545044;0.5600613951683044;0.6632000207901001;0.7077844738960266;0.6782240867614746
13;0.7997120022773743;0.5572961568832397;0.5503609776496887;0.6696000099182129;0.683615505695343;0.6653922200202942
14;0.7743359804153442;0.5759937167167664;0.577450692653656;0.646399974822998;0.6857028007507324;0.6723173260688782
15;0.8016800880432129;0.5478888154029846;0.5515673160552979;0.6576000452041626;0.686252236366272;0.6598971486091614
16;0.8049839735031128;0.5510649681091309;0.5430194139480591;0.6679999828338623;0.6948522329330444;0.669541597366333
17;0.8148399591445923;0.5307290554046631;0.5321047306060791;0.6935999393463135;0.6634097099304199;0.6458048820495605
18;0.8249520659446716;0.5203327536582947;0.5207368731498718;0.6815999746322632;0.6652297973632812;0.6520390510559082
19;0.8237199783325195;0.5258885025978088;0.5206907391548157;0.6880000233650208;0.6702616214752197;0.6524145603179932
20;0.8281519412994385;0.5170885324478149;0.5177826881408691;0.7039999961853027;0.6550321578979492;0.6413822174072266
21;0.822767972946167;0.519424557685852;0.5197544693946838;0.6583999395370483;0.6807518601417542;0.6629555225372314
22;0.8170719742774963;0.5228586792945862;0.5248593688011169;0.6912000179290771;0.6645969152450562;0.6443328857421875
23;0.8270480632781982;0.5103811621665955;0.5162177085876465;0.7008000016212463;0.6511688232421875;0.6369075179100037
24;0.8367680311203003;0.5052374601364136;0.5057592391967773;0.6976000070571899;0.661221981048584;0.6477506160736084
25;0.831496000289917;0.5140112638473511;0.5071781873703003;0.7008000016212463;0.6534612774848938;0.6376199126243591
26;0.8370239734649658;0.49845224618911743;0.5015128254890442;0.7024000287055969;0.6627752780914307;0.6445612907409668
27;0.8363759517669678;0.5081820487976074;0.49910879135131836;0.7135999798774719;0.6483244895935059;0.6336309313774109
28;0.8421920537948608;0.49969249963760376;0.4964112937450409;0.6999999284744263;0.6520179510116577;0.6355507373809814
29;0.8414480090141296;0.4926610589027405;0.495678186416626;0.7008000016212463;0.6525853276252747;0.637502908706665
